Code,Prüfung,Studiengang,Sem.,PO,Prüfwoche,Prüfdatum,Tag,Beginn,Dauer,Prüfer,Prüfungsform,Zweitprüfer,Bemerkung
60017,Grundlagen der Relativitätstheorie und Quantenmechanik,Bachelor WIE,WMB,2017,5,26.02.22,Sa,,,Prochotta,M,Braun A.,T.n.V. / Dauer: 20-40 Min
72504,Entscheiden und Führen,Bachelor WIE,WMB,2017,5,26.02.22,Sa,,,Habermann,BP-HA,Lang,T.n.V.
72512,International Buisness,Bachelor WIE,WMB,2017,5,26.02.22,Sa,,,Hermanns,BP,Lang,T.n.V.
72502,Strategie & Unternehmensmanagement,Bachelor WIE,WMB,2017,5,26.02.22,Sa,,,Hermanns,M o. BP,Lang,T.n.V.
72510,IT-Datenschutz,Bachelor WIE,WMB,2017,5,26.02.22,Sa,,,Frese,BP-HA,Pogatzki,T.n.V.
72526,Digitalisierung in der Industrie,Bachelor WIE,WMB,2017,1,28.01.22,Fr,09:00,1:30,Jovanovic,KL,Lang,
72506,Technologiemanagement,Bachelor WIE,WMB,2017,1,28.01.22,Fr,14:00,1:30,Jovanovic,KL,Lang,
72522,Start-Up-Gründung und Unternehmenskauf,Bachelor WIE,WMB,2017,5,26.02.22,Sa,,,Kaßmann,BP-HA + BP-V,Lang,T.n.V. / Dauer: 20-40 Min
60021,Numerische Mathematik mit Matlab,Bachelor WIE,WMB,2017,1,28.01.22,Fr,09:00,1:30,Kerkhoff,KL,Meier HG,
72516,Pädagogisches Projekt,Bachelor WIE,WMB,2017,5,26.02.22,Sa,,,Lux,BP-PB + BP-V,Frese,T.n.V. / Dauer: 20-40 Min
60009,Mikrocontrollerprogrammierung mit Arduino,Bachelor WIE,WMB,2012,3,08.02.22,Di,,,Mandorf,BP-PB + BP-V,Mondwurf,T.n.V. / Dauer: 20-40 Min
72501,Vorbereitung auf den TOEFL Test,Bachelor WIE,WMB,2017,1,26.01.22,Mi,15:00,3:00,Meier S.,KL,Zupfer,
60010,Photonik,Bachelor WIE,WMB,2017,1,28.01.22,Fr,14:00,2:00,Braun A.,KL,Prochotta,
72524,Wie man erfolgreich Geschäfte in Italien macht,Bachelor WIE,WMB,2017,5,26.02.22,Sa,,,Rossi,BP-V,,T.n.V. / Dauer: 20-40 Min
60015,Lasertechnologie,Bachelor WIE,WMB,2017,1,29.01.22,Sa,13:30,1:30,Scheubel,KL,Rieß,
72509,Qualitätsmanagement,Bachelor WIE,WMB,2017,5,26.02.22,Sa,,,Frese,BP-HA,Pogatzki,
60020,Entwicklung und Auslegung von Teilsystemen eines Formula Student Autos (e-Traxx),Bachelor WIE,WMB,2017,5,26.02.22,Sa,,,Wrede,BP-PB + BP-V,Gottkehaskamp,T.n.V. / Dauer: 20-40 Min
72523,Software-Engineering-Projekt,Bachelor WIE,WMB,2017,5,26.02.22,Sa,,,Lux,BP-PB + BP-V,Frese,T.n.V. / Dauer: 20-40 Min
60018,Autonomes Fahren,Bachelor WIE,WMB,2020,5,26.02.22,Sa,,,Braun A.,BP-PB,Prochotta,T.n.V.
60005,FPGA-Programmierung,Bachelor WIE,WMB,2020,2,02.02.22,Mi,11:00,1:00,Rieß,KL,Scheubel,
6060,MATLAB in der Elektrotechnik,Bachelor WIE,WMB,2020,5,26.02.22,Sa,,,Braun A.,BP-PB,Meier H.-G.,T.n.V.
60008,C# - Programmierung und Künstliche Intelligenz,Bachelor WIE,WMB,2020,3,12.02.22,Sa,11:00,1:00,Braun G.,KL,Pogatzki,
60007,Elektrokonstruktion Rechnergestützte Schaltplanerstellung mit EPLAN,Bachelor WIE,WMB,2020,3,12.02.22,Sa,10:00,1:30,Celik,KL,Beck,
60006,Photovoltaik,Bachelor WIE,WMB,2020,5,25.02.22,Fr,10:30,2:00,Fülber,KL,Wrede,
60017,Grundlagen der Relativitätstheorie und Quantenmechanik,Bachelor WIE,WMB,2020,5,26.02.22,Sa,,,Prochotta,M,Braun A.,T.n.V. / Dauer: 20-40 Min
72504,Entscheiden und Führen,Bachelor WIE,WMB,2020,5,26.02.22,Sa,,,Habermann,BP-HA,Lang,T.n.V.
72512,International Buisness,Bachelor WIE,WMB,2020,5,26.02.22,Sa,,,Hermanns,BP,Lang,T.n.V.
72502,Strategie & Unternehmensmanagement,Bachelor WIE,WMB,2020,5,26.02.22,Sa,,,Hermanns,M o. BP,Lang,T.n.V.
72510,IT-Datenschutz,Bachelor WIE,WMB,2020,5,26.02.22,Sa,,,Frese,BP-HA,Pogatzki,T.n.V.
72526,Digitalisierung in der Industrie,Bachelor WIE,WMB,2020,1,28.01.22,Fr,09:00,1:30,Jovanovic,KL,Lang,
72506,Technologiemanagement,Bachelor WIE,WMB,2020,1,28.01.22,Fr,14:00,1:30,Jovanovic,KL,Lang,
72522,Start-Up-Gründung und Unternehmenskauf,Bachelor WIE,WMB,2020,5,26.02.22,Sa,,,Kaßmann,BP-HA + BP-V,Lang,T.n.V. / Dauer: 20-40 Min
60021,Numerische Mathematik mit Matlab,Bachelor WIE,WMB,2020,1,28.01.22,Fr,09:00,1:30,Kerkhoff,KL,Meier HG,
72516,Pädagogisches Projekt,Bachelor WIE,WMB,2020,5,26.02.22,Sa,,,Lux,BP-PB + BP-V,Frese,T.n.V. / Dauer: 20-40 Min
60009,Mikrocontrollerprogrammierung mit Arduino,Bachelor WIE,WMB,2020,3,08.02.22,Di,,,Mandorf,BP-PB + BP-V,Mondwurf,T.n.V. / Dauer: 20-40 Min
72501,Vorbereitung auf den TOEFL Test,Bachelor WIE,WMB,2020,1,26.01.22,Mi,15:00,3:00,Meier S.,KL,Zupfer,
60010,Photonik,Bachelor WIE,WMB,2020,1,28.01.22,Fr,14:00,2:00,Braun A.,KL,Prochotta,
72524,Wie man erfolgreich Geschäfte in Italien macht,Bachelor WIE,WMB,2020,5,26.02.22,Sa,,,Rossi,BP-V,,T.n.V. / Dauer: 20-40 Min
60015,Lasertechnologie,Bachelor WIE,WMB,2020,1,29.01.22,Sa,13:30,1:30,Scheubel,KL,Rieß,
72509,Qualitätsmanagement,Bachelor WIE,WMB,2020,5,26.02.22,Sa,,,Frese,BP-HA,Pogatzki,
60020,Entwicklung und Auslegung von Teilsystemen eines Formula Student Autos (e-Traxx),Bachelor WIE,WMB,2020,5,26.02.22,Sa,,,Wrede,BP-PB + BP-V,Gottkehaskamp,T.n.V. / Dauer: 20-40 Min
72523,Software-Engineering-Projekt,Bachelor WIE,WMB,2020,5,26.02.22,Sa,,,Lux,BP-PB + BP-V,Frese,T.n.V. / Dauer: 20-40 Min
