Code,Prüfung,Studiengang,Sem.,PO,Prüfwoche,Prüfdatum,Tag,Beginn,Dauer,Prüfer,Prüfungsform,Zweitprüfer,Bemerkung
16011,Englisch,Bachelor EI,5,2016,5,26.02.22,Sa,,,Meier S.,BP-HA,Zupfer,T.n.V.
12011,Mathematik I,Bachelor EI Dual,1,2016,1,26.01.22,Mi,08:00,1:30,Meier H.-G.,KL,Kerkhoff,
11011,Grundlagen der Elektrotechnik I,Bachelor EI Dual,1,2016,2,01.02.22,Di,08:00,2:00,Wrede,KL,Gottkehaskamp,
11021,Grundlagen der Elektrotechnik II,Bachelor EI Dual,2,2016,3,07.02.22,Mo,14:00,2:00,Wrede,KL,Gottkehaskamp,
12021,Mathematik II,Bachelor EI Dual,2,2016,5,21.02.22,Mo,12:30,1:30,Meier H.-G.,KL,Kerkhoff,
13011,Grundlagen der Informatik I,Bachelor EI Dual,3,2016,1,24.01.22,Mo,16:00,1:30,Mandorf,KL,Gronau,Siemens
14011,Naturwissenschaftliche Grundlagen I,Bachelor EI Dual,3,2016,3,10.02.22,Do,08:00,2:00,Prochotta,KL,"Braun, A.",
13011,Grundlagen der Informatik I,Bachelor EI Dual,3,2016,4,14.02.22,Mo,08:00,1:30,Gronau,KL,Pogatzki,
13021,Grundlagen der Informatik II,Bachelor EI Dual,4,2016,2,02.02.22,Mi,09:30,1:00,Mandorf,KL,Rieß,Siemens
15011,Bauelemente,Bachelor EI Dual,4,2016,3,09.02.22,Mi,08:30,1:30,Feige,KL,Kellner,
15011,Bauelemente,Bachelor EI Dual,4,2016,3,09.02.22,Mi,08:30,1:30,Kellner,KL,Feige,
14021,Naturwissenschaftliche Grundlagen II,Bachelor EI Dual,4,2016,4,18.02.22,Fr,11:00,1:30,Prochotta,KL,"Braun, A.",
13021,Grundlagen der Informatik II,Bachelor EI Dual,4,2016,5,24.02.22,Do,11:00,1:00,Rieß,KL,Scheubel,
11031,Grundlagen der Elektrotechnik III,Bachelor EI Dual,5,2016,1,28.01.22,Fr,11:00,1:30,Pogatzki,KL,Gronau,
15031,Software Engineering,Bachelor EI Dual,5,2016,2,02.02.22,Mi,08:00,1:30,Lux,KL,Frese,
12031,Mathematik III,Bachelor EI Dual,5,2016,2,05.02.22,Sa,13:00,1:30,Meier H.-G.,KL,Kerkhoff,
13031,Grundlagen der Informatik III,Bachelor EI Dual,5,2016,3,08.02.22,Di,08:00,2:00,Scheubel,KL,Rieß,
15021,Schaltungstechnik,Bachelor EI Dual,5,2016,3,11.02.22,Fr,16:30,2:00,Feige,KL,Kellner,
